FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability
3,False,100/30,4.333333333333334,CompletedRace,919884,84,Uttoxeter,06/04/2026 15:30:00,5633124,That's Nice IRE,
0,False,SP,,NonRunner,919887,84,Uttoxeter,06/04/2026 16:00:00,6215501,Beorma IRE,
2,False,11/10F,2.1,CompletedRace,919885,84,Uttoxeter,06/04/2026 16:30:00,5845749,Wheresmemoneygone IRE,
4,False,9/2,5.5,CompletedRace,920009,87,Wetherby,06/04/2026 16:12:00,7983209,Dalamara,
6,False,11/1,12,CompletedRace,920008,87,Wetherby,06/04/2026 17:15:00,5809880,Amerjeet,
4,False,9/4F,3.25,CompletedRace,920010,87,Wetherby,06/04/2026 17:50:00,7436440,Northern Tempest,
1,True,EvensF,2,CompletedRace,919873,39,Newton Abbot,06/03/2026 15:00:00,7051293,Dunkerque DEN,
5,False,5/2F,3.5,CompletedRace,919875,39,Newton Abbot,06/03/2026 15:30:00,5884300,Kenzo Des Bruyeres FR,
0,False,3/1,4,PulledUp,919871,39,Newton Abbot,06/03/2026 16:00:00,5424980,Jena d'Oudairies FR,
1,True,2/1F,3,CompletedRace,919981,40,Nottingham,06/03/2026 16:18:00,4924648,A Major Payne,
2,False,15/8F,2.875,CompletedRace,919984,40,Nottingham,06/03/2026 16:48:00,8455167,Gatehouse IRE,
2,False,100/30F,4.333333333333334,CompletedRace,919989,49,Ripon,06/03/2026 20:12:00,5096521,Canaria Queen,
7,False,6/1,7,CompletedRace,919990,49,Ripon,06/03/2026 20:42:00,7588052,Popty Ping,
2,False,5/2,3.5,CompletedRace,919881,85,Warwick,06/03/2026 19:30:00,8507334,Dream's Ka FR,
0,False,SP,,NonRunner,919879,85,Warwick,06/03/2026 20:00:00,6640606,Thickthorn Tom IRE,
1,True,9/4,3.25,CompletedRace,919878,85,Warwick,06/03/2026 21:00:00,3630330,Theonlywayiswessex FR,
2,False,4/1,5,CompletedRace,920270,1353,Newcastle (AW),06/02/2026 19:15:00,8018255,Pivotal Terms,
3,False,18/1,19,CompletedRace,919973,46,Pontefract,06/02/2026 14:48:00,8075064,Fozzie IRE,
6,False,12/1,13,CompletedRace,919975,46,Pontefract,06/02/2026 15:48:00,5743646,Maris Angel,
7,False,2/1F,3,CompletedRace,919977,46,Pontefract,06/02/2026 16:18:00,8534584,Egotistical,
5,False,5/1,6,CompletedRace,919976,46,Pontefract,06/02/2026 16:48:00,7538893,Holly Mist IRE,
4,False,17/2,9.5,CompletedRace,919978,46,Pontefract,06/02/2026 17:18:00,7493122,Quantum Power IRE,
1,True,9/4,3.25,CompletedRace,919866,61,Southwell,06/02/2026 15:00:00,3564068,Ceolwulf,
2,False,6/4F,2.5,CompletedRace,919867,61,Southwell,06/02/2026 16:30:00,5504617,Jafimgoso,
1,True,11/8J,2.375,CompletedRace,920263,513,Wolverhampton (AW),06/02/2026 17:24:00,8866972,Kakirra IRE,
3,False,10/11F,1.9090909090909092,CompletedRace,921954,513,Wolverhampton (AW),06/02/2026 18:30:00,5248382,Filey Beach IRE,
6,False,4/5F,1.8,CompletedRace,920261,513,Wolverhampton (AW),06/02/2026 20:00:00,8844374,Zoulette IRE,
5,False,12/1,13,CompletedRace,921809,184,Gowran Park,06/01/2026 15:09:00,5357864,Pink Oxalis,
2,False,7/2,4.5,CompletedRace,919958,31,Lingfield,06/01/2026 16:27:00,7020324,Chasse Patate IRE,
3,False,3/1,4,CompletedRace,920250,393,Lingfield (AW),06/01/2026 15:17:00,7020211,Astrological,
0,False,12/1,13,RefusedToRace,921815,190,Listowel,06/01/2026 14:22:00,5504679,Western Princess,
2,False,11/2,6.5,CompletedRace,921816,190,Listowel,06/01/2026 14:57:00,6473499,Becasse,
2,False,7/2,4.5,CompletedRace,921818,190,Listowel,06/01/2026 16:07:00,4241537,Blood Destiny FR,
5,False,13/2,7.5,CompletedRace,919965,36,Newbury,06/01/2026 16:00:00,6314162,Hint Of Humour,
6,False,15/2,8.5,CompletedRace,919960,36,Newbury,06/01/2026 16:35:00,4570893,Vaguely Royal IRE,
