FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability,Stake
2,False,7/2,4.5,CompletedRace,926243,201,Wexford,08/08/2026 16:35:00,7200367,Teenage Kiss,0.2541195,1.77
5,False,8/1,9,CompletedRace,926244,201,Wexford,08/08/2026 17:05:00,5544173,Ned In The Park,0.23689617,1.79
1,True,9/4F,3.25,CompletedRace,926188,184,Gowran Park,08/07/2026 17:35:00,9254435,Rebel Wave,0.26842815,0
1,True,5/2,3.5,CompletedRace,926191,184,Gowran Park,08/07/2026 19:20:00,9254398,Sergei Diaghilev,0.36715895,0.19
4,False,10/11F,1.9090909090909092,CompletedRace,926192,184,Gowran Park,08/07/2026 19:55:00,6238177,Celtic Motif,0.29795974,4
1,True,8/15F,1.5333333333333332,CompletedRace,924160,23,Haydock,08/07/2026 17:43:00,9231641,Ancestor,0.5047338,0
4,False,11/2,6.5,CompletedRace,924149,16,Musselburgh,08/07/2026 14:50:00,8881486,Bluestone Lady IRE,0.3137115,0
2,False,11/10F,2.1,CompletedRace,924150,16,Musselburgh,08/07/2026 16:24:00,8432208,Roc De Fer IRE,0.32157785,0
1,True,5/6F,1.8333333333333335,CompletedRace,924136,174,Newmarket (July),08/07/2026 20:22:00,7436346,Lucky Hero IRE,0.32402268,0
2,False,11/4,3.75,CompletedRace,924156,80,Thirsk,08/07/2026 15:10:00,9424944,Love Tanya IRE,0.32892954,2.68
2,False,11/4,3.75,CompletedRace,924103,7,Brighton,08/06/2026 16:25:00,3224061,Nibras Gold IRE,0.45250177,5
2,False,13/2,7.5,CompletedRace,924104,7,Brighton,08/06/2026 17:30:00,3886662,Dion Baker IRE,0.26341334,3.98
4,False,5/2J,3.5,CompletedRace,924118,12,Chepstow,08/06/2026 17:20:00,5991241,Oasis Sunrise IRE,0.31241563,4.22
6,False,3/1,4,CompletedRace,924115,12,Chepstow,08/06/2026 19:05:00,4175583,Talis Evolvere IRE,0.24468353,2.32
3,False,EvensF,2,CompletedRace,924119,12,Chepstow,08/06/2026 19:40:00,8124818,Clementines Star,0.24795842,0
1,True,11/10F,2.1,CompletedRace,925245,187,Leopardstown,08/06/2026 18:35:00,4992656,Ethical Diamond,0.27609277,0
4,False,11/8F,2.375,CompletedRace,924132,174,Newmarket (July),08/06/2026 14:55:00,9166859,Lord Ragnar IRE,0.29086125,0
1,True,6/5F,2.2,CompletedRace,924127,174,Newmarket (July),08/06/2026 16:33:00,3588889,High Fibre IRE,0.45422956,0.9
1,True,11/10F,2.1,CompletedRace,924129,174,Newmarket (July),08/06/2026 17:08:00,3719476,Educator,0.32556194,0
3,False,12/1,13,CompletedRace,924123,54,Sandown,08/06/2026 17:00:00,9097214,Impierious,0.26714543,0.45
1,True,5/6F,1.8333333333333335,CompletedRace,924122,54,Sandown,08/06/2026 18:48:00,7947745,Edwin Hubble IRE,0.36907852,5
3,False,7/4J,2.75,CompletedRace,924124,54,Sandown,08/06/2026 19:23:00,7436338,Ascending Star IRE,0.22458175,0
3,False,2/5F,1.4,CompletedRace,924126,54,Sandown,08/06/2026 19:58:00,4409423,Great Blasket IRE,0.3281437,0
1,True,6/4F,2.5,CompletedRace,926072,197,Sligo,08/06/2026 17:45:00,6514086,Luker's Tipple,0.29505512,0
1,True,3/1,4,CompletedRace,924097,7,Brighton,08/05/2026 15:30:00,7365386,Sea Suite IRE,0.25018394,1.39
1,True,1/2F,1.5,CompletedRace,924087,46,Pontefract,08/05/2026 17:15:00,7686986,Division Day,0.43519047,2.38
1,True,4/5F,1.8,CompletedRace,924082,31,Lingfield,08/04/2026 19:18:00,8070670,Tabasko,0.3184255,0
1,True,1/2F,1.5,CompletedRace,924054,40,Nottingham,08/03/2026 16:40:00,8214901,Del Corso,0.36593342,0
1,True,5/6F,1.8333333333333335,CompletedRace,924055,40,Nottingham,08/03/2026 17:10:00,8120587,Venetian Lion,0.32144225,0
5,False,3/1,4,CompletedRace,924069,93,Windsor,08/03/2026 18:00:00,4728070,Market House IRE,0.27676475,0.64
1,True,EvensF,2,CompletedRace,924041,13,Chester,08/02/2026 15:52:00,6692990,Dance In The Storm,0.28941587,0
2,False,8/5F,2.6,CompletedRace,926118,206,Deauville,08/02/2026 12:56:00,9344874,Queen Of The Day IRE,0.3955728,0
1,True,1/2F,1.5,CompletedRace,926117,206,Deauville,08/02/2026 15:40:00,7360560,Blue Bolt IRE,0.23918477,0
1,True,1/2F,1.5,CompletedRace,924047,104,Yarmouth,08/02/2026 14:35:00,8137375,Brighton View,0.49726737,3.55
1,True,5/4F,2.25,CompletedRace,924013,15,Doncaster,08/01/2026 14:30:00,9387262,Weleyff IRE,0.3929398,1.19
2,False,15/8F,2.875,CompletedRace,923952,21,Goodwood,08/01/2026 14:25:00,6613678,Opportunity,0.27334374,0
6,False,4/1,5,CompletedRace,922436,21,Goodwood,08/01/2026 15:00:00,5490594,Danielle,0.30790907,0.96
5,False,5/1,6,CompletedRace,924024,22,Hamilton,08/01/2026 20:30:00,4502659,Rajapour IRE,0.237968,0.3
2,False,4/1,5,CompletedRace,924026,31,Lingfield,08/01/2026 17:05:00,4471469,Londoner IRE,0.23194902,2.23
1,True,8/15F,1.5333333333333332,CompletedRace,924027,31,Lingfield,08/01/2026 18:15:00,8437046,Campeona,0.42439488,0
1,True,5/4F,2.25,CompletedRace,924028,31,Lingfield,08/01/2026 20:15:00,6143341,Distinct Spirit,0.4260017,0.49
2,False,5/2F,3.5,CompletedRace,924010,174,Newmarket (July),08/01/2026 15:23:00,7436444,Lion Of Mali,0.32878536,1.39
3,False,100/30,4.333333333333334,CompletedRace,925339,174,Newmarket (July),08/01/2026 16:33:00,8062562,Thaluna,0.43918443,4.61
2,False,6/5F,2.2,CompletedRace,925557,445,Saratoga,08/01/2026 22:44:00,8210051,Commandment,0.39791283,0
2,False,100/30,4.333333333333334,CompletedRace,924037,80,Thirsk,08/01/2026 14:43:00,9268202,Le Samourai IRE,0.25575534,1.03
1,True,4/7F,1.5714285714285714,CompletedRace,924038,80,Thirsk,08/01/2026 16:22:00,8290509,La Peregrina,0.29692245,0
